term,pos,notes,is_case_sensitive,translation_af,notes_af,translation_ar,notes_ar,translation_ar_eg,notes_ar_eg,translation_ar_iq,notes_ar_iq,translation_az,notes_az,translation_az_az,notes_az_az,translation_bn,notes_bn,translation_bn_bd,notes_bn_bd,translation_bn_in,notes_bn_in,translation_ca,notes_ca,translation_cmn,notes_cmn,translation_cs,notes_cs,translation_da,notes_da,translation_de,notes_de,translation_el,notes_el,translation_en_gb,notes_en_gb,translation_en_us,notes_en_us,translation_es,notes_es,translation_es_419,notes_es_419,translation_es_ar,notes_es_ar,translation_es_co,notes_es_co,translation_es_es,notes_es_es,translation_es_mx,notes_es_mx,translation_et,notes_et,translation_fa,notes_fa,translation_fi,notes_fi,translation_fr,notes_fr,translation_hi,notes_hi,translation_hi_in,notes_hi_in,translation_hu,notes_hu,translation_id,notes_id,translation_id_id,notes_id_id,translation_it,notes_it,translation_it_it,notes_it_it,translation_ja,notes_ja,translation_ka,notes_ka,translation_kn,notes_kn,translation_ko,notes_ko,translation_ko_kr,notes_ko_kr,translation_ky,notes_ky,translation_lo_la,notes_lo_la,translation_lt,notes_lt,translation_mn,notes_mn,translation_mr,notes_mr,translation_mr_in,notes_mr_in,translation_ms,notes_ms,translation_my,notes_my,translation_nb,notes_nb,translation_ne,notes_ne,translation_nl,notes_nl,translation_pa,notes_pa,translation_pl,notes_pl,translation_pl_pl,notes_pl_pl,translation_ps,notes_ps,translation_pt,notes_pt,translation_pt_br,notes_pt_br,translation_pt_mz,notes_pt_mz,translation_pt_pt,notes_pt_pt,translation_ro,notes_ro,translation_ru,notes_ru,translation_ru_ru,notes_ru_ru,translation_si_lk,notes_si_lk,translation_sq_al,notes_sq_al,translation_sv,notes_sv,translation_te,notes_te,translation_tr,notes_tr,translation_tzm,notes_tzm,translation_uk,notes_uk,translation_uk_ua,notes_uk_ua,translation_ur,notes_ur,translation_vi,notes_vi,translation_zh,notes_zh,translation_zh-hans,notes_zh-hans,translation_zh_cn,notes_zh_cn,translation_zh_hk,notes_zh_hk,translation_zh_sg,notes_zh_sg,translation_zh_tw,notes_zh_tw
unraisable,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,não levantável,,,,não levantável||não tratável,,,,,,,,,,,,,,,,,,,,,,unraisable,,,,,,,,,,,,,,,,,
watcher||watchers,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,observador||observadora||observadores||observadoras,,,,observador||observadores||sentinela||sentinelas||observação,,,,,,,,,,,,,,,,,,,,,,watcher||watchers,,,,,,,,,,,,,,,,,
source tree,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ソースツリー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,árvore de origem||árvore de código-fonte,,,,,,,,,,,,,,,,,,,,,,source tree,,,,,,,,,,,,,,,,,
byte code,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,código byte||bytecode,,,,,,,,,,,,,,,,,,,,,,byte code,,,,,,,,,,字节码,,,,,,,
cross-platform,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multiplataforma,,,,multiplataforma,,,,,,,,,,,,,,,,,,,,,,cross-platform,,,,,,,,,,,,,,,,,
documents,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,documenta,,,,documentos||documenta||documente,,,,,,,,,,,,,,,,,,,,,,documents,,,,,,,,,,,,,,,,,
package manager,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerenciador de pacotes,,,,gestor de pacotes,,,,,,,,,,,,,,,,,,,,,,package manager,,,,,,,,,,,,,,,,,
Finder,noun,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finder,,,,Localizador,,,,,,,,,,,,,,,,,,,,,,Finder,,,,,,,,,,,,,,,,,
free-threaded package,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pacote com threads livres,,,,pacote de threads livres,,,,,,,,,,,,,,,,,,,,,,free-threaded package,,,,,,,,,,,,,,,,,
installer package,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pacote de instalação,,,,pacote de instalação,,,,,,,,,,,,,,,,,,,,,,installer package,,,,,,,,,,,,,,,,,
free-threaded interpreter,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,interpretador com threads livres,,,,interpretador de thread livre,,,,,,,,,,,,,,,,,,,,,,free-threaded interpreter,,,,,,,,,,,,,,,,,
short-circute,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curto-circuito,,,,curto-circuito,,,,,,,,,,,,,,,,,,,,зі скороченим обчисленням,,short-circute,,,,,,,,,,,,,,,,,
floating-point,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ponto flutuante,,,,ponto flutuante,,,,,,,,,,,,,,,,,,,,з рухомою комою,,floating-point,,,,,,,,,,,,,,,,,
dummy,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fictício||fictícia||fictícios||fictícias,,,,boneco||vazio||fictícios||fictício,,,,,,,,,,,,,,,,,,,,,,dummy,,,,,,,,,,,,,,,,,
unhandled exception,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exceção não tratada,,,,exceção não tratada,,,,,,,,,,,,,,,,,,,,,,unhandled exception,,,,,,,,,,,,,,,,,
unhandled exceptions,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exceções não tratadas,,,,exceções não tratadas,,,,,,,,,,,,,,,,,,,,,,unhandled exceptions,,,,,,,,,,,,,,,,,
trace function,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,função de rastreamento,,,,função de rastreamento,,,,,,,,,,,,,,,,,,,,,,trace function,,,,,,,,,,,,,,,,,
now supports subscripting,,Frase repetida em library--typing,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agora oferece suporte a subscrição,,,,agora suporta subscrição,,,,,,,,,,,,,,,,,,,,,,now supports subscripting,,,,,,,,,,,,,,,,,
deprecated alias,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apelido descontinuado,,,,alias obsoleto||alias descontinuado,,,,,,,,,,,,,,,,,,,,,,deprecated alias,,,,,,,,,,弃用的别名,,,,,,,
type checking,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verificação de tipos,,,,verificação de tipo||verificação de tipos,,,,,,,,,,,,,,,,,,,,,,type checking,,,,,,,,,,类型检查,,,,,,,
type variable,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tipo variável,,,,variável de tipo,,,,,,,,,,,,,,,,,,,,,,type variable,,,,,,,,,,类型变量,,,,,,,
union type expressions,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,expressões de união de tipos,,,,expressões do tipo union||expressões de tipo união,,,,,,,,,,,,,,,,,,,,,,union type expressions,,,,,,,,,,,,,,,,,
parameter specification variables,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variáveis de especificação de parâmetro,,,,variáveis de especificação de parâmetros,,,,,,,,,,,,,,,,,,,,,,parameter specification variables,,,,,,,,,,,,,,,,,
flag,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sinalizar,,,,flag,,,,,,,,,,,,,,,,,,,,,,flag,,,,,,,,,,,,,,,,,
flags,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sinaliza,,,,flags,,,,,,,,,,,,,,,,,,,,,,flags,,,,,,,,,,,,,,,,,
special typing construct,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,construção especial de tipagem,,,,construção tipográfica especial||Construção especial de tipagem,,,,,,,,,,,,,,,,,,,,,,special typing construct,,,,,,,,,,,,,,,,,
see,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consulte||veja,"Usado especialmente no início de uma referência.
Exemplo: ""See PEP X for more details.""",,,consulte||veja||ver||veremos||verá||verão||perceber||virem||verificar||vê||Vejo||consultar||descrito||achar||verificarão||verifica,,,,,,,,,,,,,,,,,,,,,,see,,,,,,,,,,,,,,,,,
type annotation||type annotations,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anotação de tipo||anotações de tipo,,,,anotação de tipo||anotações de tipo,,,,,,,,,,,,,,,,,,,,,,type annotation||type annotations,,,,,,,,,,类型标注,,,,,,,
forward compatible,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compatível com versões futuras||compatíveis com versões futuras,,,,compatível com versões futuras,,,,,,,,,,,,,,,,,,,,,,forward compatible,,,,,,,,,,,,,,,,,
See,verb,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consulte||Veja,,,,Consulte||ver,,,,,,,,,,,,,,,,,,,,,,See,,,,,,,,,,,,,,,,,
abstract collection type,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tipo de coleção abstrata,,,,tipo de coleção abstrata,,,,,,,,,,,,,,,,,,,,,,abstract collection type,,,,,,,,,,,,,,,,,
forward reference||forward references,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,referência futura||referências futuras,Diz respeito à classe  typing.ForwardRef (ao menos em primeiro momento),,,referência futura||referências futuras||referências antecipadas||referência antecipada,,,,,,,,,,,,,,,,,,,,,,forward reference||forward references,,,,,,,,,,,,,,,,,
narrowed type,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tipo estreitado,,,,tipo estreito||tipo estreitado,,,,,,,,,,,,,,,,,,,,,,narrowed type,,,,,,,,,,,,,,,,,
type variable tuple,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tupla de tipos variáveis,,,,tupla de variáveis de tipo||tuplo de variável de tipo||Tuplo de variáveis de tipo,,,,,,,,,,,,,,,,,,,,,,type variable tuple,,,,,,,,,,,,,,,,,
unsound behavior,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comportamento insensato,,,,comportamento impróprio||comportamento não sólido,,,,,,,,,,,,,,,,,,,,,,unsound behavior,,,,,,,,,,,,,,,,,
type predicate function,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,função de predicado de tipo,,,,função predicado de tipo||função de predicado de tipo,,,,,,,,,,,,,,,,,,,,,,type predicate function,,,,,,,,,,,,,,,,,
PyPA,noun,"Python Packaging Authority, https://www.pypa.io",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PyPA,,,,PyPA,,,,,,,,,,,,,,,,,,,,,,PyPA,,,,,,,,,,,,,,,,,
standard libraries,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bibliotecas padrão,Tivemos uma discussão sobre o termo no grupo de Telegram @pybr_i18n,,,bibliotecas padrão||bibliotecas C padrão,,,,,,,,,,,,,,,,,,,,,,standard libraries,,,,,,,,,,,,,,,,,
backwards compatibility,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retrocompatibilidade,,,,compatibilidade com versões anteriores||compatibilidade retroativa||retrocompatível||retrocompatibilidade,,,,,,,,,,,,,,,,,,,,,,backwards compatibility,,,,,,,,,,,,,,,,,
helper,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auxiliar||auxiliares||helper,,,,,,,,,,,,,,,,,,,,,,helper,,,,,,,,,,,,,,,,,
field specifier,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,especificador de campo,,,,especificador de campo,,,,,,,,,,,,,,,,,,,,,,field specifier,,,,,,,,,,,,,,,,,
field specifiers,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,especificadores de campos,,,,especificadores de campo,,,,,,,,,,,,,,,,,,,,,,field specifiers,,,,,,,,,,,,,,,,,
default value,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valor padrão,,,,valor padrão||valores padrão||valor predefinido||valores predefinidos,,,,,,,,,,,,,,,,,,,,,,default value,,,,,,,,,,默认值,,,,,,,
type alias||type aliases,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apelido de tipo||apelidos de tipo,,,,alias de tipo||aliases de tipo||Type Alias,,,,,,,,,,,,,,,,,,,,,,type alias||type aliases,,,,,,,,,,类型别名,,,,,,,
parameter specification,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,especificação de parâmetros,,,,especificação de parâmetros,,,,,,,,,,,,,,,,,,,,,,parameter specification,,,,,,,,,,,,,,,,,
parameter specifications,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,especificações de parâmetros,,,,especificações de parâmetros,,,,,,,,,,,,,,,,,,,,,,parameter specifications,,,,,,,,,,,,,,,,,
bottom type,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tipo inferior,,,,,,,,,,,,,,,,,,,,,,bottom type,,,,,,,,,,,,,,,,,
monkey-patching,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alteração dinâmica,,,,monkey patching||monkey-patching,,,,,,,,,,,,,,,,,,,,,,monkey-patching,,,,,,,,,,,,,,,,,
type-safe,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tipo,,,,,,,,,,,,,,,,,,,,,,type-safe,,,,,,,,,,,,,,,,,
performance-sensitive code,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,código sensível a desempenho,,,,código sensível ao desempenho,,,,,,,,,,,,,,,,,,,,,,performance-sensitive code,,,,,,,,,,,,,,,,,
What's new in Python,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O que há de novo no Python,,,,Novidades no Python||O que há de novo no Python,,,,,,,,,,,,,,,,,,,,,,What's new in Python,,,,,,,,,,,,,,,,,
backwards compatible||backwards-compatible,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retrocompatível,,,,compatível com versões anteriores||retrocompatível,,,,,,,,,,,,,,,,,,,,,,backwards compatible||backwards-compatible,,,,,,,,,,,,,,,,,
current context,,glossary term,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contexto atual,,,,contexto atual,,,,,,,,,,,,,,,,,,,,,,current context,,,,,,,,,,,,,,,,,
context management protocol,,glossary term,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,protocolo de gerenciamento de contexto,,,,protocolo de gestão de contexto,,,,,,,,,,,,,,,,,,,,,,context management protocol,,,,,,,,,,,,,,,,,
bound type,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tipo delimitado,,,,tipo vinculado,,,,,,,,,,,,,,,,,,,,,,bound type,,,,,,,,,,,,,,,,,
constrained type,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tipo restrito,,,,tipo restrito||tipo restrita||tipo,,,,,,,,,,,,,,,,,,,,,,constrained type,,,,,,,,,,,,,,,,,
is equivalent to,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,equivale a||equivale à||equivale ao,,,,equivalente,,,,,,,,,,,,,,,,,,,,,,is equivalent to,,,,,,,,,,,,,,,,,
type variables,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tipos variáveis,Isso foi discutido no grupo no Telegram. Aqui tem a mensagem com a conclusão da discussão: https://t.me/pybr_i18n/15705,,,variáveis de tipo,,,,,,,,,,,,,,,,,,,,,,type variables,,,,,,,,,,,,,,,,,
type variable tuples,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tuplas de tipos variáveis,,,,Tuplos de variáveis de tipo,,,,,,,,,,,,,,,,,,,,,,type variable tuples,,,,,,,,,,,,,,,,,
linker,noun,"It is the computer system program that takes one or more object files (generated by a compiler or an assembler) and combines them into a single executable file, library file, or another ""object"" file.",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ligador,,,,linker,,,,,,,,,,,,,,,,,,,,,,linker,,,,,,,,,,,,,,,,,
higher level||higher-level,adjective,"comparison, related to 'high level'",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nível mais alto,,,,nível superior,,,,,,,,,,,,,,,,,,,,,,higher level||higher-level,,,,,,,,,,,,,,,,,
POSIX,noun,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSIX,,,,POSIX,,,,,,,,,,,,,,,,,,,,,,POSIX,,,,,,,,,,,,,,,,,
macOS,noun,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,macOS,,,,macOS,,,,,,,,,,,,,,,,,,,,,,macOS,,,,,,,,,,,,,,,,,
Linux,noun,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linux,,,,Linux,,,,,,,,,,,,,,,,,,,,,,Linux,,,,,,,,,,,,,,,,,
iOS,noun,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iOS,,,,,,,,iOS,,,,iOS,,,,,,,,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,
named tuple||named tuples,noun,glossary term,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tupla nomeada||tuplas nomeadas,,,,tuplo nomeado||tuplos nomeados,,,,,,,,,,,,,,,,,,,,,,named tuple||named tuples,,,,,,,,,,,,,,,,,
